t,cmd_ts,cmd_age_ms,cmd_fresh,ramping,target_0,target_1,target_2,target_3,target_4,target_5,target_6,applied_0,applied_1,applied_2,applied_3,applied_4,applied_5,applied_6,meas_0,meas_1,meas_2,meas_3,meas_4,meas_5,meas_gripper,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,eff_0,eff_1,eff_2,eff_3,eff_4,eff_5
1787275027.789072,1787275027.786031,3.042,1,1,-0.006666,0.411781,0.292400,0.278868,-0.011236,-0.020377,1.000000,-0.006674,0.407969,0.289209,0.294340,-0.010932,-0.020085,0.997786,-0.006676,0.428588,0.272183,0.241283,-0.011254,-0.021172,0.997282,-0.002442,0.002442,-0.036630,0.036630,-0.007326,0.007326,-0.047863,1.114530,7.391453,2.659341,-0.012210,-0.012210
1787275027.794071,1787275027.791031,3.041,1,1,-0.006667,0.411784,0.292346,0.288876,-0.011239,-0.020382,1.000000,-0.006674,0.407985,0.289213,0.295946,-0.010933,-0.020086,0.997795,-0.006676,0.428588,0.272183,0.241283,-0.011254,-0.020790,0.997282,-0.002442,-0.002442,-0.026862,0.007326,-0.007326,-0.007326,-0.047863,1.141880,7.364103,2.688645,-0.017094,-0.012210
1787275027.799072,1787275027.796030,3.041,1,1,-0.006668,0.411787,0.292299,0.293814,-0.011241,-0.020386,1.000000,-0.006675,0.408001,0.289217,0.296757,-0.010935,-0.020088,0.997804,-0.006676,0.428588,0.271801,0.242046,-0.011635,-0.020790,0.997282,-0.002442,-0.012210,-0.041514,0.065934,-0.007326,-0.007326,-0.047863,1.169231,7.350427,2.742369,-0.012210,-0.012210
1787275027.804071,1787275027.801031,3.040,1,1,-0.006670,0.411789,0.292259,0.293885,-0.011243,-0.020389,1.000000,-0.006675,0.408016,0.289223,0.296758,-0.010936,-0.020090,0.997813,-0.006676,0.428588,0.271801,0.242046,-0.011635,-0.020790,0.997282,-0.002442,-0.012210,-0.041514,0.065934,-0.007326,-0.007326,-0.047863,1.169231,7.350427,2.742369,-0.012210,-0.012210
1787275027.809072,1787275027.806030,3.042,1,1,-0.006670,0.411791,0.292225,0.293945,-0.011244,-0.020392,1.000000,-0.006675,0.408032,0.289229,0.296757,-0.010938,-0.020092,0.997821,-0.006676,0.428588,0.271801,0.243954,-0.011254,-0.020790,0.997282,-0.007326,-0.002442,-0.017094,0.153846,-0.007326,0.007326,-0.047863,1.182906,7.295726,2.688645,-0.017094,-0.012210
1787275027.814071,1787275027.811031,3.041,1,1,-0.006671,0.411793,0.292196,0.293997,-0.011246,-0.020394,1.000000,-0.006675,0.408047,0.289236,0.296755,-0.010939,-0.020093,0.997830,-0.006676,0.428588,0.271801,0.243954,-0.011254,-0.020790,0.997282,-0.007326,-0.002442,-0.017094,0.153846,-0.007326,0.007326,-0.047863,1.182906,7.295726,2.688645,-0.017094,-0.012210
1787275027.819071,1787275027.816031,3.041,1,1,-0.006672,0.411794,0.292171,0.294042,-0.011247,-0.020396,1.000000,-0.006675,0.408063,0.289243,0.296752,-0.010941,-0.020095,0.997839,-0.006676,0.428588,0.271801,0.244335,-0.011635,-0.021172,0.997282,-0.002442,-0.002442,-0.012210,0.153846,-0.007326,-0.021978,-0.034188,1.196581,7.295726,2.669109,-0.017094,-0.012210
1787275027.824071,1787275027.821031,3.040,1,1,-0.006673,0.411796,0.292149,0.294080,-0.011248,-0.020398,1.000000,-0.006675,0.408078,0.289251,0.296748,-0.010942,-0.020097,0.997848,-0.006676,0.428588,0.271801,0.245098,-0.011254,-0.020790,0.997282,-0.002442,-0.017094,-0.007326,0.109890,-0.007326,0.007326,-0.034188,1.237607,7.254701,2.649573,-0.017094,-0.012210
1787275027.829071,1787275027.826030,3.041,1,1,-0.006673,0.411797,0.292131,0.294112,-0.011249,-0.020400,1.000000,-0.006675,0.408094,0.289260,0.296743,-0.010944,-0.020098,0.997857,-0.006676,0.428588,0.271801,0.245861,-0.011635,-0.020790,0.997282,-0.002442,-0.012210,-0.007326,0.124542,-0.007326,0.007326,-0.047863,1.237607,7.241026,2.639805,-0.017094,-0.012210
1787275027.834072,1787275027.831031,3.041,1,1,-0.006673,0.411798,0.292115,0.294140,-0.011249,-0.020401,1.000000,-0.006675,0.408109,0.289268,0.296738,-0.010945,-0.020100,0.997866,-0.006676,0.428588,0.271801,0.247005,-0.011254,-0.020790,0.997282,-0.002442,-0.007326,-0.002442,0.168498,-0.021978,-0.007326,-0.034188,1.223932,7.227350,2.566545,-0.012210,-0.017094
1787275027.839071,1787275027.836179,2.892,1,1,-0.006674,0.411798,0.292101,0.294165,-0.011250,-0.020402,1.000000,-0.006675,0.408125,0.289277,0.296732,-0.010946,-0.020101,0.997874,-0.006676,0.428588,0.271801,0.247768,-0.011254,-0.020790,0.997282,-0.002442,-0.002442,-0.007326,0.153846,-0.007326,0.007326,-0.034188,1.237607,7.213675,2.532357,-0.012210,-0.017094
1787275027.844071,1787275027.841087,2.985,1,1,-0.006674,0.411799,0.292089,0.294185,-0.011251,-0.020403,1.000000,-0.006675,0.408140,0.289287,0.296725,-0.010948,-0.020103,0.997883,-0.006676,0.428588,0.271801,0.248531,-0.011635,-0.020790,0.997282,-0.002442,-0.007326,0.002442,0.109890,-0.007326,-0.007326,-0.034188,1.264957,7.227350,2.498168,-0.017094,-0.012210
1787275027.849071,1787275027.846029,3.042,1,1,-0.006674,0.411800,0.292079,0.294203,-0.011251,-0.020404,1.000000,-0.006676,0.408155,0.289297,0.296718,-0.010949,-0.020104,0.997892,-0.006676,0.428588,0.271801,0.248913,-0.011635,-0.020790,0.997282,-0.007326,-0.017094,-0.007326,0.124542,-0.007326,-0.021978,-0.034188,1.251282,7.213675,2.488400,-0.012210,-0.012210
1787275027.854072,1787275027.851031,3.041,1,1,-0.006675,0.411800,0.292071,0.294218,-0.011251,-0.020404,1.000000,-0.006676,0.408171,0.289306,0.296711,-0.010950,-0.020105,0.997901,-0.006676,0.428588,0.271801,0.250820,-0.011254,-0.020790,0.997282,-0.002442,-0.002442,-0.007326,0.197802,0.007326,-0.007326,-0.034188,1.237607,7.213675,2.420024,-0.017094,-0.012210
